evaluations,WPT,PSO,GA
4425,6933900.443345095,6693425.913929965,6036765.341100774
8850,6879222.413453259,6693374.907942158,5971214.767461182
13275,6866715.463078895,6693374.907942158,5920408.816103223
17700,6866715.463078895,6693374.907942158,5881665.805148841
22125,6866715.463078895,6693374.907942158,5815994.10326155
26550,6866715.463078895,6693374.907942158,5815726.141377692
30976,6866715.463078895,6693374.907942158,5815726.141377692
35401,6846908.031126619,6693374.907942158,5815608.04316426
39826,6846908.031126619,6693374.907942158,5815308.363373955
44251,6846908.031126619,6693374.907942158,5814825.205506807
48676,6846908.031126619,6693374.907942158,5813891.05316215
53101,6846908.031126619,6693374.907942158,5813891.05316215
57526,6846908.031126619,6693374.907942158,5752829.424262098
61952,6846908.031126619,6693374.907942158,5752463.958866727
66377,6825750.264590019,6693374.907942158,5747760.611399784
70802,6825750.264590019,6693374.907942158,5747716.746526611
75227,6825750.264590019,6693374.907942158,5747716.746526611
79652,6825750.264590019,6693374.907942158,5747716.746526611
84077,6825750.264590019,6693374.907942158,5715513.34228414
88503,6825484.05961282,6693374.907942158,5715512.917308773
92928,6795165.266091048,6693374.907942158,5715462.878705296
97353,6795165.266091048,6693374.907942158,5715207.404408812
101778,6795165.266091048,6693374.907942158,5715207.404408812
106203,6795165.266091048,6693374.907942158,5715207.404408812
110628,6795165.266091048,6693374.907942158,5715207.404408812
115053,6795165.266091048,6693374.907942158,5715207.404408812
119479,6795165.266091048,6693374.907942158,5715207.404408812
123904,6795165.266091048,6693374.907942158,5715207.404408812
128329,6794515.653434571,6693374.907942158,5713708.195130514
132754,6794515.653434571,6693374.907942158,5713708.195130514
137179,6794515.653434571,6693374.907942158,5713708.195130514
141604,6794515.653434571,6693374.907942158,5713708.195130514
146029,6794515.653434571,6693374.907942158,5713708.195130514
150455,6706083.356509377,6693374.907942158,5713708.195130514
154880,6706083.356509377,6693374.907942158,5713665.60632808
159305,6706083.356509377,6693374.907942158,5713665.60632808
163730,6706083.356509377,6693374.907942158,5713609.484765054
168155,6706083.356509377,6693374.907942158,5713609.484765054
172580,6706083.356509377,6693374.907942158,5713609.484765054
177006,6706083.356509377,6693374.907942158,5713609.484765054
181431,6706083.356509377,6693374.907942158,5713609.484765054
185856,6706083.356509377,6693374.907942158,5713609.484765054
190281,6706083.356509377,6693374.907942158,5713609.484765054
194706,6706083.356509377,6693374.907942158,5713609.484765054
199131,6706083.356509377,6693374.907942158,5713609.484765054
203556,6706083.356509377,6693374.907942158,5713609.484765054
207982,6706083.356509377,6693374.907942158,5713609.484765054
212407,6706083.356509377,6693374.907942158,5713609.484765054
216832,6706083.356509377,6693374.907942158,5713609.484765054
221257,6706083.356509377,6693374.907942158,5688616.194034944
225682,6706083.356509377,6693374.907942158,5684009.143079275
230107,6706083.356509377,6693374.907942158,5680538.346191357
234532,6706083.356509377,6693374.907942158,5680538.346191357
238958,6706083.356509377,6693374.907942158,5680538.346191357
243383,6706083.356509377,6693374.907942158,5677979.246484519
247808,6706083.356509377,6693374.907942158,5677754.364635736
252233,6706083.356509377,6693374.907942158,5677742.875007213
256658,6706083.356509377,6693374.907942158,5677742.875007213
261083,6706083.356509377,6693374.907942158,5677742.875007213
265509,6706083.356509377,6693374.907942158,5677742.875007213
269934,6706083.356509377,6693374.907942158,5677742.875007213
274359,6706083.356509377,6693374.907942158,5677742.875007213
278784,6706083.356509377,6693374.907942158,5677742.875007213
283209,6706083.356509377,6693374.907942158,5677742.875007213
287634,6706083.356509377,6693374.907942158,5677721.2229814585
292059,6706083.356509377,6693374.907942158,5677721.2229814585
296485,6706083.356509377,6693374.907942158,5677651.296633347
300910,6706083.356509377,6693374.907942158,5677651.296633347
305335,6706083.356509377,6693374.907942158,5677651.296633347
309760,6706083.356509377,6693374.907942158,5677651.296633347
314185,6706083.356509377,6693374.907942158,5677651.296633347
318610,6706083.356509377,6693374.907942158,5677651.296633347
323035,6706083.356509377,6693374.907942158,5677651.296633347
327461,6706083.356509377,6693374.907942158,5677651.296633347
331886,6706083.356509377,6693374.907942158,5677651.296633347
336311,6706083.356509377,6693374.907942158,5677651.296633347
340736,6706083.356509377,6693374.907942158,5677651.296633347
345161,6706083.356509377,6693374.907942158,5677651.296633347
349586,6706083.356509377,6693374.907942158,5677651.296633347
354012,6706083.356509377,6693374.907942158,5677651.296633347
358437,6706083.356509377,6693374.907942158,5677651.296633347
362862,6706083.356509377,6693374.907942158,5677651.296633347
367287,6706083.356509377,6693374.907942158,5677651.296633347
371712,6706083.356509377,6693374.907942158,5677651.296633347
376137,6706083.356509377,6693374.907942158,5677651.296633347
380562,6706083.356509377,6693374.907942158,5677651.296633347
384988,6706083.356509377,6693374.907942158,5677651.296633347
389413,6706083.356509377,6693374.907942158,5677651.296633347
393838,6706083.356509377,6693374.907942158,5677651.296633347
398263,6706083.356509377,6693374.907942158,5677651.296633347
402688,6706083.356509377,6693374.907942158,5677651.296633347
407113,6706083.356509377,6693374.907942158,5677651.296633347
411538,6706083.356509377,6693374.907942158,5677651.296633347
415964,6706083.356509377,6693374.907942158,5677651.296633347
420389,6706083.356509377,6693374.907942158,5677651.296633347
424814,6706083.356509377,6693374.907942158,5677651.296633347
429239,6706083.356509377,6693374.907942158,5677651.296633347
433664,6706083.356509377,6693374.907942158,5677651.296633347
438089,6706083.356509377,6693374.907942158,5677651.296633347
442514,6706083.356509377,6693374.907942158,5677651.296633347
446940,6706083.356509377,6693374.907942158,5677651.296633347
451365,6706083.356509377,6693374.907942158,5677651.296633347
455790,6706083.356509377,6693374.907942158,5677651.296633347
460215,6706083.356509377,6693374.907942158,5677651.296633347
