evaluations,WPT,PSO,GA
4425,30004.25,30004.25,30004.25
8850,30004.25,30004.25,30004.25
13275,30004.25,30004.25,30004.25
17700,30004.25,30004.25,30004.25
22125,30004.25,30004.25,30004.25
26550,30004.25,30004.25,30004.25
30976,30004.25,30004.25,30004.25
35401,30004.25,30004.25,30004.25
39826,30004.25,30004.25,30004.25
44251,30004.25,30004.25,30004.25
48676,30004.25,30004.25,30004.25
53101,30004.25,30004.25,30004.25
57526,30004.25,30004.25,30004.25
61952,30004.25,30004.25,30004.25
66377,30004.25,30004.25,30004.25
70802,30004.25,30004.25,30004.25
75227,30004.25,30004.25,30004.25
79652,30004.25,30004.25,30004.25
84077,30004.25,30004.25,30004.25
88503,30004.25,30004.25,30004.25
92928,30004.25,30004.25,30004.25
97353,30004.25,30004.25,30004.25
101778,30004.25,30004.25,30004.25
106203,30004.25,30004.25,30004.25
110628,30004.25,30004.25,30004.25
115053,30004.25,30004.25,30004.25
119479,30004.25,30004.25,30004.25
123904,30004.25,30004.25,30004.25
128329,30004.25,30004.25,30004.25
132754,30004.25,30004.25,30004.25
137179,30004.25,30004.25,30004.25
141604,30004.25,30004.25,30004.25
146029,30004.25,30004.25,30004.25
150455,30004.25,30004.25,30004.25
154880,30004.25,30004.25,30004.25
159305,30004.25,30004.25,30004.25
163730,30004.25,30004.25,30004.25
168155,30004.25,30004.25,30004.25
172580,30004.25,30004.25,30004.25
177006,30004.25,30004.25,30004.25
181431,30004.25,30004.25,30004.25
185856,30004.25,30004.25,30004.25
190281,30004.25,30004.25,30004.25
194706,30004.25,30004.25,30004.25
199131,30004.25,30004.25,30004.25
203556,30004.25,30004.25,30004.25
207982,30004.25,30004.25,30004.25
212407,30004.25,30004.25,30004.25
216832,30004.25,30004.25,30004.25
221257,30004.25,30004.25,30004.25
225682,30004.25,30004.25,30004.25
230107,30004.25,30004.25,30004.25
234532,30004.25,30004.25,30004.25
238958,30004.25,30004.25,30004.25
243383,30004.25,30004.25,30004.25
247808,30004.25,30004.25,30004.25
252233,30004.25,30004.25,30004.25
256658,30004.25,30004.25,30004.25
261083,30004.25,30004.25,30004.25
265509,30004.25,30004.25,30004.25
269934,30004.25,30004.25,30004.25
274359,30004.25,30004.25,30004.25
278784,30004.25,30004.25,30004.25
283209,30004.25,30004.25,30004.25
287634,30004.25,30004.25,30004.25
292059,30004.25,30004.25,30004.25
296485,30004.25,30004.25,30004.25
300910,30004.25,30004.25,30004.25
305335,30004.25,30004.25,30004.25
309760,30004.25,30004.25,30004.25
314185,30004.25,30004.25,30004.25
318610,30004.25,30004.25,30004.25
323035,30004.25,30004.25,30004.25
327461,30004.25,30004.25,30004.25
331886,30004.25,30004.25,30004.25
336311,30004.25,30004.25,30004.25
340736,30004.25,30004.25,30004.25
345161,30004.25,30004.25,30004.25
349586,30004.25,30004.25,30004.25
354012,30004.25,30004.25,30004.25
358437,30004.25,30004.25,30004.25
362862,30004.25,30004.25,30004.25
367287,30004.25,30004.25,30004.25
371712,30004.25,30004.25,30004.25
376137,30004.25,30004.25,30004.25
380562,30004.25,30004.25,30004.25
384988,30004.25,30004.25,30004.25
389413,30004.25,30004.25,30004.25
393838,30004.25,30004.25,30004.25
398263,30004.25,30004.25,30004.25
402688,30004.25,30004.25,30004.25
407113,30004.25,30004.25,30004.25
411538,30004.25,30004.25,30004.25
415964,30004.25,30004.25,30004.25
420389,30004.25,30004.25,30004.25
424814,30004.25,30004.25,30004.25
429239,30004.25,30004.25,30004.25
433664,30004.25,30004.25,30004.25
438089,30004.25,30004.25,30004.25
442514,30004.25,30004.25,30004.25
446940,30004.25,30004.25,30004.25
451365,30004.25,30004.25,30004.25
455790,30004.25,30004.25,30004.25
460215,30004.25,30004.25,30004.25
464640,30004.25,30004.25,30004.25
469065,30004.25,30004.25,30004.25
473491,30004.25,30004.25,30004.25
477916,30004.25,30004.25,30004.25
482341,30004.25,30004.25,30004.25
486766,30004.25,30004.25,30004.25
491191,30004.25,30004.25,30004.25
495616,30004.25,30004.25,30004.25
500041,30004.25,30004.25,30004.25
504467,30004.25,30004.25,30004.25
508892,30004.25,30004.25,30004.25
513317,30004.25,30004.25,30004.25
517742,30004.25,30004.25,30004.25
522167,30004.25,30004.25,30004.25
526592,30004.25,30004.25,30004.25
531018,30004.25,30004.25,30004.25
535443,30004.25,30004.25,30004.25
539868,30004.25,30004.25,30004.25
544293,30004.25,30004.25,30004.25
548718,30004.25,30004.25,30004.25
553143,30004.25,30004.25,30004.25
557568,30004.25,30004.25,30004.25
561994,30004.25,30004.25,30004.25
566419,30004.25,30004.25,30004.25
570844,30004.25,30004.25,30004.25
575269,30004.25,30004.25,30004.25
579694,30004.25,30004.25,30004.25
584119,30004.25,30004.25,30004.25
588544,30004.25,30004.25,30004.25
592970,30004.25,30004.25,30004.25
597395,30004.25,30004.25,30004.25
601820,30004.25,30004.25,30004.25
606245,30004.25,30004.25,30004.25
610670,30004.25,30004.25,30004.25
615095,30004.25,30004.25,30004.25
619521,30004.25,30004.25,30004.25
623946,30004.25,30004.25,30004.25
628371,30004.25,30004.25,30004.25
632796,30004.25,30004.25,30004.25
637221,30004.25,30004.25,30004.25
641646,30004.25,30004.25,30004.25
646071,30004.25,30004.25,30004.25
650497,30004.25,30004.25,30004.25
654922,30004.25,30004.25,30004.25
659347,30004.25,30004.25,30004.25
663772,30004.25,30004.25,30004.25
668197,30004.25,30004.25,30004.25
672622,30004.25,30004.25,30004.25
677047,30004.25,30004.25,30004.25
681473,30004.25,30004.25,30004.25
685898,30004.25,30004.25,30004.25
690323,30004.25,30004.25,30004.25
694748,30004.25,30004.25,30004.25
699173,30004.25,30004.25,30004.25
703598,30004.25,30004.25,30004.25
708024,30004.25,30004.25,30004.25
712449,30004.25,30004.25,30004.25
716874,30004.25,30004.25,30004.25
721299,30004.25,30004.25,30004.25
725724,30004.25,30004.25,30004.25
730149,30004.25,30004.25,30004.25
734574,30004.25,30004.25,30004.25
739000,30004.25,30004.25,30004.25
743425,30004.25,30004.25,30004.25
747850,30004.25,30004.25,30004.25
752275,30004.25,30004.25,30004.25
756700,30004.25,30004.25,30004.25
761125,30004.25,30004.25,30004.25
765550,30004.25,30004.25,30004.25
769976,30004.25,30004.25,30004.25
774401,30004.25,30004.25,30004.25
778826,30004.25,30004.25,30004.25
783251,30004.25,30004.25,30004.25
787676,30004.25,30004.25,30004.25
792101,30004.25,30004.25,30004.25
796526,30004.25,30004.25,30004.25
800952,30004.25,30004.25,30004.25
805377,30004.25,30004.25,30004.25
809802,30004.25,30004.25,30004.25
814227,30004.25,30004.25,30004.25
818652,30004.25,30004.25,30004.25
823077,30004.25,30004.25,30004.25
827503,30004.25,30004.25,30004.25
831928,30004.25,30004.25,30004.25
836353,30004.25,30004.25,30004.25
840778,30004.25,30004.25,30004.25
845203,30004.25,30004.25,30004.25
849628,30004.25,30004.25,30004.25
854053,30004.25,30004.25,30004.25
858479,30004.25,30004.25,30004.25
862904,30004.25,30004.25,30004.25
867329,30004.25,30004.25,30004.25
871754,30004.25,30004.25,30004.25
876179,30004.25,30004.25,30004.25
880604,30004.25,30004.25,30004.25
885030,30004.25,30004.25,30004.25
