evaluations,WPT,PSO,GA
78,45549482.19062069,43649577.341871336,44892489.16385911
157,45549482.19062069,42838819.28601724,42912790.50548725
236,45549482.19062069,42836690.99285815,42332331.58436254
315,45549482.19062069,42836533.73514979,42108073.44624209
394,45549482.19062069,42836533.73514979,41679576.78792527
472,45549482.19062069,42836533.73514979,41100276.43391275
551,45549482.19062069,42836533.73514979,40923174.505843386
630,45549482.19062069,42836533.73514979,40824384.28958288
709,45549482.19062069,42836533.73514979,40707839.1564322
788,45549482.19062069,42836533.73514979,40517111.74409831
867,45549482.19062069,42836533.73514979,40499851.61578284
945,45549482.19062069,42836533.73514979,40265004.22789464
1024,45549482.19062069,42836533.73514979,40190927.27929973
1103,45549482.19062069,42836533.73514979,40158141.150799155
1182,45549482.19062069,42836533.73514979,39757647.103051506
1261,45549482.19062069,42836533.73514979,39619151.23778997
1340,45549482.19062069,42836533.73514979,39437682.128464736
1418,45549482.19062069,42836533.73514979,39336901.35226269
1497,45527889.85502163,42836533.73514979,39034314.31416803
1576,45527889.85502163,42836533.73514979,39034314.31416803
1655,45527889.85502163,42836533.73514979,39001103.2519104
1734,45527889.85502163,42836533.73514979,38964693.221113436
1812,45527889.85502163,42836533.73514979,38881366.604029104
1891,45527889.85502163,42836533.73514979,38881366.604029104
1970,45527889.85502163,42836533.73514979,38881366.604029104
2049,45527889.85502163,42836533.73514979,38857768.25863611
2128,45527356.511640586,42836533.73514979,38853055.737644605
2207,45527356.511640586,42836533.73514979,38843830.89214672
2285,45527356.511640586,42836533.73514979,38824439.3211749
2364,45527356.511640586,42836533.73514979,38763826.26391912
2443,45527356.511640586,42836533.73514979,38693340.63859954
2522,45527356.511640586,42836533.73514979,38693340.63859954
2601,45527356.511640586,42836533.73514979,38674663.2806401
2680,45527356.511640586,42836533.73514979,38674663.2806401
2758,45527356.511640586,42836533.73514979,38637483.27641462
2837,45527356.511640586,42836533.73514979,38615445.03070176
2916,45527356.511640586,42836533.73514979,38615445.03070176
2995,45527356.511640586,42836533.73514979,38609395.21715391
3074,45527356.511640586,42836533.73514979,38587678.19492919
3153,45527356.511640586,42836533.73514979,38587678.19492919
