evaluations,WPT,PSO,GA
78,2742175.7055955296,2590439.6593982554,2681917.627325276
157,2742175.7055955296,2461488.099446241,2576519.5899895816
236,2742175.7055955296,2461488.099446241,2551850.080058732
315,2742175.7055955296,2461488.099446241,2504179.818431733
394,2742175.7055955296,2461488.099446241,2462153.7389641097
472,2742175.7055955296,2461488.099446241,2462153.7389641097
551,2742175.7055955296,2461488.099446241,2459386.077489773
630,2726746.8371987273,2461488.099446241,2459386.077489773
709,2726746.8371987273,2461488.099446241,2459386.077489773
788,2726746.8371987273,2461488.099446241,2399332.8120918437
867,2726746.8371987273,2461488.099446241,2399332.8120918437
945,2726746.8371987273,2461488.099446241,2396900.394792623
1024,2726746.8371987273,2461488.099446241,2396900.394792623
1103,2726746.8371987273,2461488.099446241,2356311.510632432
1182,2726746.8371987273,2461488.099446241,2356311.510632432
1261,2726746.8371987273,2461488.099446241,2356311.510632432
1340,2726746.8371987273,2461488.099446241,2356311.510632432
1418,2726746.8371987273,2461488.099446241,2356311.510632432
1497,2726746.8371987273,2461488.099446241,2356311.510632432
1576,2726746.8371987273,2461488.099446241,2356311.510632432
1655,2726746.8371987273,2461488.099446241,2356311.510632432
1734,2726746.8371987273,2461488.099446241,2356311.510632432
1812,2726746.8371987273,2461488.099446241,2356311.510632432
1891,2726746.8371987273,2461488.099446241,2356311.510632432
1970,2726746.8371987273,2461488.099446241,2333735.1157999313
2049,2726746.8371987273,2461488.099446241,2333735.1157999313
2128,2726746.8371987273,2461488.099446241,2333735.1157999313
2207,2726746.8371987273,2461488.099446241,2333735.1157999313
2285,2726746.8371987273,2461488.099446241,2333735.1157999313
2364,2726746.8371987273,2461488.099446241,2333735.1157999313
2443,2726746.8371987273,2461488.099446241,2333735.1157999313
2522,2726746.8371987273,2461488.099446241,2333735.1157999313
2601,2726746.8371987273,2461488.099446241,2333735.1157999313
2680,2726746.8371987273,2461488.099446241,2333735.1157999313
2758,2726746.8371987273,2461488.099446241,2333716.645374884
2837,2726746.8371987273,2461488.099446241,2333716.645374884
2916,2726746.8371987273,2461488.099446241,2295637.3561235713
2995,2726746.8371987273,2461488.099446241,2260161.827800203
3074,2726746.8371987273,2461488.099446241,2220572.345309927
3153,2726746.8371987273,2461488.099446241,2220572.345309927
3231,2726746.8371987273,2461488.099446241,2220572.345309927
3310,2726746.8371987273,2461488.099446241,2220572.345309927
3389,2726746.8371987273,2461488.099446241,2220572.345309927
3468,2726746.8371987273,2461488.099446241,2220572.345309927
3547,2726746.8371987273,2461488.099446241,2220572.345309927
3625,2726746.8371987273,2461488.099446241,2220572.345309927
3704,2726746.8371987273,2461488.099446241,2220572.345309927
3783,2726746.8371987273,2461488.099446241,2220572.345309927
3862,2726746.8371987273,2461488.099446241,2220572.345309927
3941,2726746.8371987273,2461488.099446241,2220572.345309927
4020,2726746.8371987273,2461488.099446241,2220572.345309927
4098,2726746.8371987273,2461488.099446241,2210221.723182755
4177,2726746.8371987273,2461488.099446241,2210221.723182755
4256,2726746.8371987273,2461488.099446241,2210221.723182755
4335,2726746.8371987273,2461488.099446241,2210221.723182755
4414,2726746.8371987273,2461488.099446241,2210221.723182755
4493,2726746.8371987273,2461488.099446241,2210221.723182755
4571,2726746.8371987273,2461488.099446241,2210221.723182755
4650,2726746.8371987273,2461488.099446241,2210221.723182755
4729,2726746.8371987273,2461488.099446241,2210221.723182755
4808,2726746.8371987273,2461488.099446241,2210221.723182755
4887,2726746.8371987273,2461488.099446241,2210221.723182755
4965,2726746.8371987273,2461488.099446241,2210221.723182755
5044,2726746.8371987273,2461488.099446241,2210221.723182755
5123,2726746.8371987273,2461488.099446241,2210221.723182755
5202,2726746.8371987273,2461488.099446241,2210221.723182755
5281,2726746.8371987273,2461488.099446241,2210221.723182755
5360,2693910.3060850175,2461488.099446241,2210221.723182755
5438,2693910.3060850175,2461488.099446241,2210221.723182755
5517,2693910.3060850175,2461488.099446241,2210221.723182755
5596,2693910.3060850175,2461488.099446241,2210221.723182755
5675,2693910.3060850175,2461488.099446241,2210221.723182755
5754,2693910.3060850175,2461488.099446241,2210221.723182755
