evaluations,WPT,PSO,GA
78,56975.561535338704,46955.50730300806,46955.50730300806
157,56975.561535338704,46955.50730300806,46955.50730300806
236,56975.561535338704,46955.50730300806,46955.50730300806
315,46955.50730300806,46955.50730300806,46955.50730300806
394,46955.50730300806,46955.50730300806,46955.50730300806
472,46955.50730300806,46955.50730300806,46955.50730300806
551,46955.50730300806,46955.50730300806,46955.50730300806
630,46955.50730300806,46955.50730300806,46955.50730300806
709,46955.50730300806,46955.50730300806,46955.50730300806
788,46955.50730300806,46955.50730300806,46955.50730300806
867,46955.50730300806,46955.50730300806,46955.50730300806
945,46955.50730300806,46955.50730300806,46955.50730300806
1024,46955.50730300806,46955.50730300806,46955.50730300806
1103,46955.50730300806,46955.50730300806,46955.50730300806
1182,46955.50730300806,46955.50730300806,46955.50730300806
1261,46955.50730300806,46955.50730300806,46955.50730300806
1340,46955.50730300806,46955.50730300806,46955.50730300806
1418,46955.50730300806,46955.50730300806,46955.50730300806
1497,46955.50730300806,46955.50730300806,46955.50730300806
1576,46955.50730300806,46955.50730300806,46955.50730300806
1655,46955.50730300806,46955.50730300806,46955.50730300806
1734,46955.50730300806,46955.50730300806,46955.50730300806
1812,46955.50730300806,46955.50730300806,46955.50730300806
1891,46955.50730300806,46955.50730300806,46955.50730300806
1970,46955.50730300806,46955.50730300806,46955.50730300806
2049,46955.50730300806,46955.50730300806,46955.50730300806
2128,46955.50730300806,46955.50730300806,46955.50730300806
2207,46955.50730300806,46955.50730300806,46955.50730300806
2285,46955.50730300806,46955.50730300806,46955.50730300806
2364,46955.50730300806,46955.50730300806,46955.50730300806
2443,46955.50730300806,46955.50730300806,46955.50730300806
2522,46955.50730300806,46955.50730300806,46955.50730300806
2601,46955.50730300806,46955.50730300806,46955.50730300806
2680,46955.50730300806,46955.50730300806,46955.50730300806
2758,46955.50730300806,46955.50730300806,46955.50730300806
2837,46955.50730300806,46955.50730300806,46955.50730300806
2916,46955.50730300806,46955.50730300806,46955.50730300806
2995,46955.50730300806,46955.50730300806,46955.50730300806
3074,46955.50730300806,46955.50730300806,46955.50730300806
3153,46955.50730300806,46955.50730300806,46955.50730300806
3231,46955.50730300806,46955.50730300806,46955.50730300806
3310,46955.50730300806,46955.50730300806,46955.50730300806
3389,46955.50730300806,46955.50730300806,46955.50730300806
3468,46955.50730300806,46955.50730300806,46955.50730300806
3547,46955.50730300806,46955.50730300806,46955.50730300806
3625,46955.50730300806,46955.50730300806,46955.50730300806
3704,46955.50730300806,46955.50730300806,46955.50730300806
3783,46955.50730300806,46955.50730300806,46955.50730300806
3862,46955.50730300806,46955.50730300806,46955.50730300806
3941,46955.50730300806,46955.50730300806,46955.50730300806
4020,46955.50730300806,46955.50730300806,46955.50730300806
4098,46955.50730300806,46955.50730300806,46955.50730300806
4177,46955.50730300806,46955.50730300806,46955.50730300806
4256,46955.50730300806,46955.50730300806,46955.50730300806
4335,46955.50730300806,46955.50730300806,46955.50730300806
4414,46955.50730300806,46955.50730300806,46955.50730300806
4493,46955.50730300806,46955.50730300806,46955.50730300806
4571,46955.50730300806,46955.50730300806,46955.50730300806
4650,46955.50730300806,46955.50730300806,46955.50730300806
4729,46955.50730300806,46955.50730300806,46955.50730300806
4808,46955.50730300806,46955.50730300806,46955.50730300806
4887,46955.50730300806,46955.50730300806,46955.50730300806
4965,46955.50730300806,46955.50730300806,46955.50730300806
5044,46955.50730300806,46955.50730300806,46955.50730300806
5123,46955.50730300806,46955.50730300806,46955.50730300806
5202,46955.50730300806,46955.50730300806,46955.50730300806
5281,46955.50730300806,46955.50730300806,46955.50730300806
5360,46955.50730300806,46955.50730300806,46955.50730300806
5438,46955.50730300806,46955.50730300806,46955.50730300806
5517,46955.50730300806,46955.50730300806,46955.50730300806
5596,46955.50730300806,46955.50730300806,46955.50730300806
5675,46955.50730300806,46955.50730300806,46955.50730300806
5754,46955.50730300806,46955.50730300806,46955.50730300806
5833,46955.50730300806,46955.50730300806,46955.50730300806
5911,46955.50730300806,46955.50730300806,46955.50730300806
5990,46955.50730300806,46955.50730300806,46955.50730300806
6069,46955.50730300806,46955.50730300806,46955.50730300806
6148,46955.50730300806,46955.50730300806,46955.50730300806
6227,46955.50730300806,46955.50730300806,46955.50730300806
6306,46955.50730300806,46955.50730300806,46955.50730300806
6384,46955.50730300806,46955.50730300806,46955.50730300806
6463,46955.50730300806,46955.50730300806,46955.50730300806
6542,46955.50730300806,46955.50730300806,46955.50730300806
6621,46955.50730300806,46955.50730300806,46955.50730300806
6700,46955.50730300806,46955.50730300806,46955.50730300806
6778,46955.50730300806,46955.50730300806,46955.50730300806
6857,46955.50730300806,46955.50730300806,46955.50730300806
6936,46955.50730300806,46955.50730300806,46955.50730300806
7015,46955.50730300806,46955.50730300806,46955.50730300806
7094,46955.50730300806,46955.50730300806,46955.50730300806
7173,46955.50730300806,46955.50730300806,46955.50730300806
7251,46955.50730300806,46955.50730300806,46955.50730300806
7330,46955.50730300806,46955.50730300806,46955.50730300806
7409,46955.50730300806,46955.50730300806,46955.50730300806
7488,46955.50730300806,46955.50730300806,46955.50730300806
7567,46955.50730300806,46955.50730300806,46955.50730300806
7646,46955.50730300806,46955.50730300806,46955.50730300806
7724,46955.50730300806,46955.50730300806,46955.50730300806
7803,46955.50730300806,46955.50730300806,46955.50730300806
7882,46955.50730300806,46955.50730300806,46955.50730300806
7961,46955.50730300806,46955.50730300806,46955.50730300806
8040,46955.50730300806,46955.50730300806,46955.50730300806
8118,46955.50730300806,46955.50730300806,46955.50730300806
8197,46955.50730300806,46955.50730300806,46955.50730300806
8276,46955.50730300806,46955.50730300806,46955.50730300806
8355,46955.50730300806,46955.50730300806,46955.50730300806
8434,46955.50730300806,46955.50730300806,46955.50730300806
8513,46955.50730300806,46955.50730300806,46955.50730300806
8591,46955.50730300806,46955.50730300806,46955.50730300806
8670,46955.50730300806,46955.50730300806,46955.50730300806
8749,46955.50730300806,46955.50730300806,46955.50730300806
8828,46955.50730300806,46955.50730300806,46955.50730300806
8907,46955.50730300806,46955.50730300806,46955.50730300806
8986,46955.50730300806,46955.50730300806,46955.50730300806
9064,46955.50730300806,46955.50730300806,46955.50730300806
9143,46955.50730300806,46955.50730300806,46955.50730300806
9222,46955.50730300806,46955.50730300806,46955.50730300806
9301,46955.50730300806,46955.50730300806,46955.50730300806
9380,46955.50730300806,46955.50730300806,46955.50730300806
9459,46955.50730300806,46955.50730300806,46955.50730300806
9537,46955.50730300806,46955.50730300806,46955.50730300806
9616,46955.50730300806,46955.50730300806,46955.50730300806
9695,46955.50730300806,46955.50730300806,46955.50730300806
9774,46955.50730300806,46955.50730300806,46955.50730300806
9853,46955.50730300806,46955.50730300806,46955.50730300806
9931,46955.50730300806,46955.50730300806,46955.50730300806
10010,46955.50730300806,46955.50730300806,46955.50730300806
10089,46955.50730300806,46955.50730300806,46955.50730300806
10168,46955.50730300806,46955.50730300806,46955.50730300806
10247,46955.50730300806,46955.50730300806,46955.50730300806
10326,46955.50730300806,46955.50730300806,46955.50730300806
10404,46955.50730300806,46955.50730300806,46955.50730300806
10483,46955.50730300806,46955.50730300806,46955.50730300806
10562,46955.50730300806,46955.50730300806,46955.50730300806
10641,46955.50730300806,46955.50730300806,46955.50730300806
10720,46955.50730300806,46955.50730300806,46955.50730300806
10799,46955.50730300806,46955.50730300806,46955.50730300806
10877,46955.50730300806,46955.50730300806,46955.50730300806
10956,46955.50730300806,46955.50730300806,46955.50730300806
11035,46955.50730300806,46955.50730300806,46955.50730300806
11114,46955.50730300806,46955.50730300806,46955.50730300806
11193,46955.50730300806,46955.50730300806,46955.50730300806
11271,46955.50730300806,46955.50730300806,46955.50730300806
11350,46955.50730300806,46955.50730300806,46955.50730300806
11429,46955.50730300806,46955.50730300806,46955.50730300806
11508,46955.50730300806,46955.50730300806,46955.50730300806
11587,46955.50730300806,46955.50730300806,46955.50730300806
11666,46955.50730300806,46955.50730300806,46955.50730300806
11744,46955.50730300806,46955.50730300806,46955.50730300806
11823,46955.50730300806,46955.50730300806,46955.50730300806
11902,46955.50730300806,46955.50730300806,46955.50730300806
11981,46955.50730300806,46955.50730300806,46955.50730300806
12060,46955.50730300806,46955.50730300806,46955.50730300806
12139,46955.50730300806,46955.50730300806,46955.50730300806
12217,46955.50730300806,46955.50730300806,46955.50730300806
12296,46955.50730300806,46955.50730300806,46955.50730300806
12375,46955.50730300806,46955.50730300806,46955.50730300806
12454,46955.50730300806,46955.50730300806,46955.50730300806
12533,46955.50730300806,46955.50730300806,46955.50730300806
12612,46955.50730300806,46955.50730300806,46955.50730300806
12690,46955.50730300806,46955.50730300806,46955.50730300806
12769,46955.50730300806,46955.50730300806,46955.50730300806
12848,46955.50730300806,46955.50730300806,46955.50730300806
12927,46955.50730300806,46955.50730300806,46955.50730300806
13006,46955.50730300806,46955.50730300806,46955.50730300806
13084,46955.50730300806,46955.50730300806,46955.50730300806
13163,46955.50730300806,46955.50730300806,46955.50730300806
13242,46955.50730300806,46955.50730300806,46955.50730300806
13321,46955.50730300806,46955.50730300806,46955.50730300806
13400,46955.50730300806,46955.50730300806,46955.50730300806
13479,46955.50730300806,46955.50730300806,46955.50730300806
13557,46955.50730300806,46955.50730300806,46955.50730300806
13636,46955.50730300806,46955.50730300806,46955.50730300806
13715,46955.50730300806,46955.50730300806,46955.50730300806
13794,46955.50730300806,46955.50730300806,46955.50730300806
13873,46955.50730300806,46955.50730300806,46955.50730300806
13952,46955.50730300806,46955.50730300806,46955.50730300806
14030,46955.50730300806,46955.50730300806,46955.50730300806
14109,46955.50730300806,46955.50730300806,46955.50730300806
14188,46955.50730300806,46955.50730300806,46955.50730300806
14267,46955.50730300806,46955.50730300806,46955.50730300806
14346,46955.50730300806,46955.50730300806,46955.50730300806
14424,46955.50730300806,46955.50730300806,46955.50730300806
14503,46955.50730300806,46955.50730300806,46955.50730300806
14582,46955.50730300806,46955.50730300806,46955.50730300806
14661,46955.50730300806,46955.50730300806,46955.50730300806
14740,46955.50730300806,46955.50730300806,46955.50730300806
14819,46955.50730300806,46955.50730300806,46955.50730300806
14897,46955.50730300806,46955.50730300806,46955.50730300806
14976,46955.50730300806,46955.50730300806,46955.50730300806
15055,46955.50730300806,46955.50730300806,46955.50730300806
15134,46955.50730300806,46955.50730300806,46955.50730300806
15213,46955.50730300806,46955.50730300806,46955.50730300806
15292,46955.50730300806,46955.50730300806,46955.50730300806
15370,46955.50730300806,46955.50730300806,46955.50730300806
15449,46955.50730300806,46955.50730300806,46955.50730300806
15528,46955.50730300806,46955.50730300806,46955.50730300806
15607,46955.50730300806,46955.50730300806,46955.50730300806
15686,46955.50730300806,46955.50730300806,46955.50730300806
15765,46955.50730300806,46955.50730300806,46955.50730300806
