algorithm,level,instance,run,best_fitness,elapsed_sec,n_evals
PSO,basic,0,1,30004.25,154.45687095800002,885030
PSO,basic,0,2,30004.25,156.014376333,885030
PSO,basic,0,0,30004.25,156.12013625,885030
GA,basic,0,2,30004.25,167.473228,826030
GA,basic,0,0,30004.25,169.23296224999999,826030
WPT,basic,0,1,30004.25,170.450171834,875011
WPT,basic,0,2,30004.25,170.471762417,871768
WPT,basic,0,0,30004.25,172.516000333,883215
GA,basic,0,1,30004.25,172.62797333400002,826030
WPT,basic,1,0,61213.24,188.56119408299998,878672
PSO,basic,1,0,61213.24,197.950594083,885030
GA,basic,1,0,61213.24,210.375678208,826030
WPT,basic,1,1,61213.24,192.06361425,882210
PSO,basic,2,0,34513.85,182.314265583,885030
WPT,basic,2,0,34513.85,186.55474887500003,882842
WPT,basic,1,2,61213.24,190.17765374999996,878423
PSO,basic,1,1,61213.24,202.235995292,885030
PSO,basic,1,2,61213.24,202.35973641699997,885030
GA,basic,2,0,34513.85,199.29016737499998,826030
GA,basic,1,1,61213.24,216.808183083,826030
WPT,basic,2,1,34513.85,188.426560791,883049
PSO,basic,2,1,34513.85,182.414355083,885030
GA,basic,1,2,61213.24,214.52824266699997,826030
GA,basic,2,1,34513.85,197.36874587499997,826030
PSO,basic,3,0,36005.1,160.892116541,885030
WPT,basic,2,2,34513.85,187.21278566599995,880291
WPT,basic,3,0,36005.1,177.108332625,882920
PSO,basic,3,1,36005.1,162.037126375,885030
PSO,basic,2,2,34513.85,181.127927834,885030
PSO,basic,3,2,36005.1,158.91522254200004,885030
GA,basic,3,0,36005.1,174.59583962500005,826030
GA,basic,2,2,34513.85,194.882920416,826030
WPT,basic,3,1,36005.1,180.69957104199995,876424
GA,basic,3,1,36005.1,175.719737792,826030
WPT,basic,3,2,36005.1,181.40847825000003,879189
GA,basic,3,2,36005.1,177.19653345900002,826030
WPT,basic,4,0,3013.49,185.07847062500002,879216
PSO,basic,4,0,3013.49,181.38253862500005,885030
PSO,basic,4,1,3013.49,182.18043650000004,885030
WPT,basic,4,1,3013.49,186.56945258299993,879729
GA,basic,4,0,3013.49,194.384743125,826030
